customer_id,tier,total_spend,invoice_count,avg_invoice_value,preferred_category,preferred_brand,purchase_frequency
1,Bronze,61352.77,2,30676.38,Laptops,HP,Quarterly
2,Bronze,29429.95,2,14714.97,Mice,Corsair,Quarterly
3,Silver,79125.49,5,15825.1,Laptops,HP,Monthly
4,Bronze,4328.72,1,4328.72,Keyboards,Logitech,Weekly
5,Silver,353067.85,5,70613.57,Smartphones,Poco,Weekly
6,Bronze,16911.46,1,16911.46,Tablets,iPad,Quarterly
7,Bronze,46272.79,2,23136.39,Mice,Corsair,Weekly
8,Silver,255975.92,5,51195.18,Mice,Dell,Quarterly
9,Silver,134743.79,6,22457.3,Keyboards,Dell,Weekly
10,Silver,144693.79,5,28938.76,Keyboards,Razer,Bi-weekly
11,Gold,135510.78,8,16938.85,Keyboards,Corsair,Monthly
12,Bronze,52485.1,3,17495.03,Tablets,iPad,Quarterly
13,Bronze,15124.07,3,5041.36,Mice,Dell,Monthly
14,Bronze,39679.28,2,19839.64,Keyboards,Logitech,Monthly
15,Silver,276771.83,5,55354.37,Mice,Corsair,Weekly
16,Silver,112053.72,5,22410.74,Tablets,iPad,Monthly
17,Bronze,63695.8,3,21231.93,Tablets,Samsung,Bi-weekly
18,Silver,490627.84,6,81771.31,Printers,HP,Bi-weekly
19,Silver,464400.07,4,116100.02,Printers,Canon,Weekly
20,Gold,49322.55,8,6165.32,Laptops,Dell,Bi-weekly
21,Silver,29126.62,6,4854.44,Laptops,Dell,Bi-weekly
22,Gold,152172.22,7,21738.89,Keyboards,Razer,Weekly
23,Bronze,233648.78,3,77882.93,Printers,Canon,Weekly
24,Gold,373369.15,8,46671.14,Laptops,Lenovo,Quarterly
25,Gold,359895.4,7,51413.63,Keyboards,Dell,Weekly
26,Silver,45489.68,5,9097.94,Tablets,iPad,Quarterly
27,Bronze,125447.63,2,62723.82,Laptops,HP,Bi-weekly
28,Silver,105970.6,4,26492.65,Printers,HP,Monthly
29,Silver,78518.22,4,19629.55,Monitors,MSI,Weekly
30,Silver,189298.75,6,31549.79,Printers,HP,Weekly
31,Silver,75320.67,4,18830.17,Printers,Canon,Quarterly
32,Gold,12259.0,7,1751.29,Tablets,Samsung,Monthly
33,Bronze,51790.09,3,17263.36,Monitors,ASUS,Bi-weekly
34,Silver,73794.16,4,18448.54,Smartphones,Realme,Monthly
35,Gold,741760.79,7,105965.83,Laptops,HP,Quarterly
36,Silver,852.42,4,213.11,Smartphones,Samsung,Quarterly
37,Silver,21891.24,5,4378.25,Smartphones,Xiaomi,Weekly
38,Bronze,182769.2,3,60923.07,Keyboards,Logitech,Weekly
39,Silver,271576.73,6,45262.79,Mice,Corsair,Monthly
40,Bronze,51134.52,3,17044.84,Printers,HP,Bi-weekly
41,Silver,573228.81,6,95538.13,Smartphones,OnePlus,Quarterly
42,Gold,536060.91,7,76580.13,Keyboards,Corsair,Weekly
43,Gold,54453.69,8,6806.71,Tablets,Samsung,Bi-weekly
44,Silver,44226.13,4,11056.53,Smartphones,iPhone,Monthly
45,Silver,487154.61,6,81192.44,Laptops,Lenovo,Quarterly
46,Silver,285897.92,6,47649.65,Tablets,iPad,Quarterly
47,Silver,95879.91,4,23969.98,Keyboards,Razer,Bi-weekly
48,Silver,73586.25,6,12264.38,Tablets,iPad,Bi-weekly
49,Gold,71384.96,7,10197.85,Smartphones,iPhone,Weekly
50,Silver,49363.21,5,9872.64,Mice,Logitech,Quarterly
51,Silver,15653.22,6,2608.87,Mice,Dell,Quarterly
52,Silver,49899.15,6,8316.53,Smartphones,Samsung,Quarterly
53,Silver,220429.73,4,55107.43,Mice,Logitech,Weekly
54,Bronze,4110.78,3,1370.26,Tablets,Samsung,Weekly
55,Silver,162989.38,5,32597.88,Laptops,MacBook,Bi-weekly
56,Silver,35916.14,4,8979.04,Mice,Corsair,Quarterly
57,Bronze,68813.43,3,22937.81,Tablets,Samsung,Quarterly
58,Silver,171935.96,5,34387.19,Keyboards,Dell,Quarterly
59,Silver,420589.07,6,70098.18,Printers,Canon,Monthly
60,Gold,77394.2,7,11056.31,Printers,Canon,Monthly
61,Silver,22296.77,4,5574.19,Keyboards,Logitech,Monthly
62,Silver,2206.92,4,551.73,Printers,Canon,Quarterly
63,Bronze,1269.45,2,634.73,Mice,Dell,Monthly
64,Gold,1500.94,7,214.42,Printers,Canon,Monthly
65,Bronze,61766.98,3,20588.99,Mice,Dell,Weekly
66,Silver,93427.68,4,23356.92,Printers,Canon,Bi-weekly
67,Gold,242128.0,7,34589.71,Keyboards,Corsair,Monthly
68,Silver,83681.28,5,16736.26,Mice,Dell,Weekly
69,Silver,101364.89,4,25341.22,Laptops,Lenovo,Bi-weekly
70,Bronze,50224.7,1,50224.7,Keyboards,Logitech,Weekly
71,Silver,476779.61,4,119194.9,Smartphones,Realme,Bi-weekly
72,Gold,51282.09,7,7326.01,Mice,Corsair,Weekly
73,Gold,330734.7,8,41341.84,Monitors,LG,Monthly
74,Silver,39533.18,5,7906.64,Keyboards,Corsair,Quarterly
75,Silver,208043.71,6,34673.95,Monitors,Dell,Bi-weekly
76,Silver,241609.1,4,60402.28,Tablets,Samsung,Monthly
77,Gold,193396.97,8,24174.62,Tablets,iPad,Bi-weekly
78,Silver,107263.86,4,26815.97,Printers,Canon,Bi-weekly
79,Silver,175654.43,5,35130.89,Smartphones,Realme,Bi-weekly
80,Gold,251593.86,7,35941.98,Tablets,iPad,Quarterly
81,Silver,242562.49,5,48512.5,Keyboards,Corsair,Monthly
82,Silver,217983.38,6,36330.56,Printers,Canon,Quarterly
83,Silver,521370.43,6,86895.07,Mice,Corsair,Quarterly
84,Bronze,707011.68,3,235670.56,Printers,HP,Quarterly
85,Gold,376031.91,8,47003.99,Mice,Corsair,Monthly
86,Gold,18039.15,7,2577.02,Monitors,BenQ,Quarterly
87,Silver,740539.97,5,148107.99,Printers,Canon,Bi-weekly
88,Silver,160537.57,5,32107.51,Smartphones,OnePlus,Bi-weekly
89,Bronze,22087.78,3,7362.59,Smartphones,OnePlus,Quarterly
90,Silver,92330.63,4,23082.66,Tablets,Samsung,Quarterly
91,Silver,227867.65,4,56966.91,Mice,Dell,Quarterly
92,Silver,78980.39,5,15796.08,Printers,HP,Quarterly
93,Silver,3317.49,4,829.37,Printers,Canon,Quarterly
94,Gold,18090.15,7,2584.31,Smartphones,iPhone,Weekly
95,Silver,548428.6,6,91404.77,Printers,HP,Bi-weekly
96,Gold,278133.26,8,34766.66,Keyboards,Dell,Quarterly
97,Silver,156505.94,4,39126.48,Laptops,Dell,Weekly
98,Bronze,165997.25,1,165997.25,Laptops,Dell,Bi-weekly
99,Bronze,4693.32,2,2346.66,Laptops,MacBook,Weekly
100,Bronze,31695.5,1,31695.5,Laptops,Dell,Quarterly
101,Gold,71104.46,8,8888.06,Monitors,Dell,Quarterly
102,Silver,43423.98,5,8684.8,Printers,HP,Bi-weekly
103,Gold,341527.55,8,42690.94,Mice,Corsair,Quarterly
104,Silver,471515.36,6,78585.89,Mice,Dell,Bi-weekly
105,Silver,96818.85,4,24204.71,Printers,Canon,Weekly
106,Silver,340591.87,5,68118.37,Tablets,Samsung,Bi-weekly
107,Gold,311713.08,9,34634.79,Monitors,LG,Quarterly
108,Silver,216521.06,4,54130.27,Keyboards,Logitech,Monthly
109,Bronze,101521.52,3,33840.51,Tablets,Samsung,Quarterly
110,Bronze,62617.65,3,20872.55,Keyboards,Dell,Quarterly
111,Silver,523798.58,5,104759.72,Keyboards,Corsair,Weekly
112,Silver,58284.06,5,11656.81,Tablets,iPad,Bi-weekly
113,Gold,25490.71,7,3641.53,Printers,HP,Monthly
114,Silver,893458.49,5,178691.7,Laptops,Dell,Monthly
115,Silver,39386.55,4,9846.64,Monitors,BenQ,Bi-weekly
116,Silver,234426.8,6,39071.13,Smartphones,Poco,Bi-weekly
117,Bronze,118447.09,3,39482.36,Laptops,Dell,Weekly
118,Silver,44505.08,5,8901.02,Smartphones,Xiaomi,Quarterly
119,Silver,593246.12,5,118649.22,Smartphones,Realme,Monthly
120,Silver,213953.04,6,35658.84,Laptops,MacBook,Weekly
121,Silver,228722.84,4,57180.71,Mice,Corsair,Bi-weekly
122,Bronze,97414.17,2,48707.09,Smartphones,Samsung,Weekly
123,Gold,443310.77,9,49256.75,Printers,HP,Bi-weekly
124,Silver,66582.27,4,16645.57,Tablets,iPad,Quarterly
125,Gold,354803.59,8,44350.45,Mice,Logitech,Weekly
126,Silver,128174.19,4,32043.55,Laptops,Lenovo,Quarterly
127,Silver,1350323.42,6,225053.9,Laptops,MacBook,Quarterly
128,Silver,12212.99,6,2035.5,Printers,HP,Weekly
129,Silver,591528.6,6,98588.1,Keyboards,Logitech,Bi-weekly
130,Gold,444600.87,8,55575.11,Mice,Corsair,Monthly
131,Gold,66279.36,7,9468.48,Mice,Logitech,Quarterly
132,Silver,91105.25,5,18221.05,Printers,Canon,Bi-weekly
133,Gold,561166.86,8,70145.86,Tablets,Samsung,Monthly
134,Silver,69208.17,5,13841.63,Tablets,iPad,Weekly
135,Silver,176355.6,4,44088.9,Keyboards,Logitech,Weekly
136,Silver,42715.37,5,8543.07,Smartphones,iPhone,Quarterly
137,Silver,588102.9,5,117620.58,Laptops,Dell,Bi-weekly
138,Silver,99640.17,6,16606.7,Monitors,Dell,Weekly
139,Silver,302149.68,6,50358.28,Tablets,iPad,Bi-weekly
140,Gold,91254.53,7,13036.36,Tablets,iPad,Bi-weekly
141,Silver,72605.53,6,12100.92,Monitors,Dell,Monthly
142,Silver,422381.69,4,105595.42,Tablets,Samsung,Quarterly
143,Bronze,21953.83,2,10976.91,Keyboards,Razer,Monthly
144,Silver,142051.48,6,23675.25,Tablets,iPad,Bi-weekly
145,Bronze,403.14,2,201.57,Tablets,iPad,Monthly
146,Silver,408120.07,6,68020.01,Tablets,iPad,Bi-weekly
147,Gold,429360.91,7,61337.27,Smartphones,Xiaomi,Quarterly
148,Silver,310218.01,4,77554.5,Monitors,MSI,Bi-weekly
149,Gold,671670.61,7,95952.94,Keyboards,Razer,Weekly
150,Bronze,104661.35,2,52330.68,Smartphones,Samsung,Monthly
151,Silver,112408.91,5,22481.78,Printers,Canon,Bi-weekly
152,Gold,957992.85,8,119749.11,Monitors,LG,Bi-weekly
153,Silver,35922.37,5,7184.47,Tablets,iPad,Weekly
154,Bronze,19662.7,2,9831.35,Monitors,ASUS,Monthly
155,Silver,536344.7,5,107268.94,Tablets,iPad,Monthly
