invoice_id,product_id,quantity,unit_price
1,136,11,2488.56
2,256,2,19199.67
2,188,1,4976.08
3,117,2,6193.94
3,149,4,1059.95
4,85,1,47627.51
4,263,1,2495.73
4,115,1,55779.2
4,342,1,8080.45
4,189,1,4159.05
5,205,1,1402.33
6,38,5,21757.99
6,107,2,12036.45
6,334,1,14230.4
7,23,1,79215.36
7,155,1,1130.21
7,209,1,4743.65
7,88,1,62777.74
8,259,1,2939.62
8,23,1,79215.36
8,162,1,2203.22
8,265,1,3797.36
9,91,1,53807.69
9,210,2,4790.68
9,193,1,1774.63
10,68,1,71271.82
10,234,1,4622.68
11,290,2,14503.87
11,312,1,691.8
11,236,1,4478.12
12,5,1,37733.54
12,145,1,1335.24
12,162,4,2203.22
13,104,1,8923.44
13,164,2,2247.72
13,150,1,1368.14
14,66,1,58668.68
14,249,1,8864.11
14,211,1,2322.41
14,268,1,12645.28
14,83,1,26229.46
15,147,1,2867.75
16,139,1,2027.99
16,336,1,10491.8
17,101,1,16689.24
17,228,3,1968.15
17,40,1,16613.77
17,87,1,72029.99
18,304,1,29475.15
18,316,1,1928.33
18,319,1,271.32
18,235,1,3437.21
19,54,1,45784.29
19,214,1,5625.75
20,63,2,34432.1
20,247,1,2350.84
20,137,3,2949.59
20,151,1,1368.9
21,181,4,5984.6
21,25,1,114757.23
21,298,1,56789.71
22,86,1,59880.48
23,102,1,15059.17
23,222,1,1981.99
23,240,2,2190.92
24,129,1,1357.52
24,150,1,1368.14
24,75,1,57583.74
25,95,1,11008.77
25,301,1,52322.62
25,313,1,845.62
26,123,1,6768.86
26,250,1,6815.38
26,255,1,18344.78
27,88,4,62777.74
27,216,2,4616.7
27,119,1,4260.17
28,290,1,14503.87
28,313,1,845.62
28,323,2,722.85
28,234,1,4622.68
29,92,1,79414.69
29,246,1,1555.64
29,133,1,1604.46
30,137,1,2949.59
31,68,2,71271.82
31,246,1,1555.64
31,215,14,5853.58
32,157,1,979.18
32,235,1,3437.21
32,79,1,35801.69
32,309,3,1855.64
32,215,1,5853.58
33,68,2,71271.82
33,192,1,1764.37
33,6,2,45909.08
33,193,1,1774.63
33,103,3,16940.77
33,74,1,96991.61
33,113,1,35646.79
34,156,1,573.2
35,78,1,38945.67
35,217,1,2604.99
35,130,2,1889.38
35,278,2,10632.89
36,123,1,6768.86
36,246,4,1555.64
36,28,2,83742.33
36,58,2,39619.15
36,127,1,1961.01
36,263,3,2495.73
37,10,2,35606.5
37,159,1,601.42
37,208,1,3485.69
37,194,1,1601.88
37,129,1,1357.52
38,27,1,89514.78
39,133,2,1604.46
39,26,1,91770.91
39,247,5,2350.84
40,293,1,36783.47
41,23,3,79215.36
41,160,2,1217.64
41,198,1,1164.81
42,135,1,1377.08
43,56,3,43159.93
44,302,1,53439.99
44,315,1,1385.96
45,81,1,34884.99
45,253,1,10990.53
45,243,1,2487.19
46,276,1,14789.81
46,334,1,14230.4
46,280,1,20595.37
46,46,3,22427.42
46,18,1,58716.65
47,79,1,35801.69
47,217,2,2604.99
47,110,1,40507.54
47,27,4,89514.78
47,320,1,432.34
48,20,2,58475.74
48,142,1,2741.5
48,208,1,3485.69
49,304,1,29475.15
49,315,1,1385.96
49,259,1,2939.62
49,54,3,45784.29
49,119,1,4260.17
50,130,1,1889.38
50,55,1,40507.74
51,105,1,15510.7
51,45,4,13527.84
52,285,1,15068.56
52,289,2,19518.22
52,83,1,26229.46
53,123,5,6768.86
53,159,1,601.42
53,341,1,9407.69
54,136,1,2488.56
54,134,1,1550.37
55,21,1,66724.71
55,193,1,1774.63
56,119,1,4260.17
56,214,1,5625.75
57,17,1,52257.24
57,141,1,1810.62
57,198,1,1164.81
58,98,1,18098.36
58,149,2,1059.95
58,232,1,2524.64
59,126,1,909.4
60,215,1,5853.58
61,148,1,2903.62
62,273,2,8061.37
62,224,1,1876.35
62,94,3,59923.63
62,207,1,5927.88
63,93,1,65802.17
63,274,1,11817.49
63,79,3,35801.69
63,323,3,722.85
63,304,1,29475.15
63,23,1,79215.36
64,139,1,2027.99
64,168,1,1646.74
65,138,2,2736.55
65,287,1,21996.26
66,296,1,47624.15
67,195,1,1375.99
67,167,2,2637.41
68,235,1,3437.21
68,226,1,1858.9
69,18,2,58716.65
70,69,1,79694.15
70,213,5,5625.02
71,300,1,43644.24
71,306,5,586.55
71,4,1,49133.03
72,82,1,29616.74
72,238,2,2851.49
72,121,1,5725.49
73,291,1,18911.62
73,312,1,691.8
73,132,13,1789.42
73,113,3,35646.79
74,69,1,79694.15
74,226,2,1858.9
74,42,1,16561.9
74,170,1,2115.57
75,299,1,55395.36
75,320,1,432.34
75,189,1,4159.05
75,222,1,1981.99
75,51,2,39853.27
76,170,2,2115.57
76,90,1,63321.66
76,139,3,2027.99
77,66,3,58668.68
78,212,2,5005.5
78,126,1,909.4
78,123,1,6768.86
78,36,1,84300.8
78,238,1,2851.49
78,242,1,2577.6
79,283,1,19493.84
79,7,1,43140.44
79,5,5,37733.54
79,21,1,66724.71
79,134,1,1550.37
79,120,1,6732.84
80,230,1,2719.62
81,126,1,909.4
81,284,3,16091.45
81,329,1,6700.81
82,83,1,26229.46
82,208,9,3485.69
82,182,2,3303.14
83,117,2,6193.94
83,145,1,1335.24
83,300,3,43644.24
83,2,1,47486.64
83,176,1,5164.27
83,125,1,1695.0
83,268,1,12645.28
83,215,1,5853.58
84,137,2,2949.59
84,222,1,1981.99
85,128,1,1070.65
85,235,1,3437.21
85,95,4,11008.77
85,197,1,1728.49
85,291,1,18911.62
85,196,1,1012.71
86,115,1,55779.2
86,245,3,2708.27
86,272,1,13844.24
86,38,1,21757.99
87,99,1,15179.43
87,140,1,2984.27
88,112,1,55897.45
88,330,1,5151.87
88,65,1,99325.76
89,99,1,15179.43
89,189,1,4159.05
90,80,2,24718.12
90,219,1,5782.79
90,254,1,9130.72
90,117,1,6193.94
91,257,2,4031.36
91,110,1,40507.54
91,67,3,74537.44
91,148,2,2903.62
92,124,1,7661.7
93,275,3,13034.83
94,267,1,8865.41
95,210,1,4790.68
96,43,1,13057.53
97,108,2,21683.73
97,224,3,1876.35
98,251,1,15180.05
98,6,1,45909.08
98,262,1,4480.44
99,293,1,36783.47
100,92,1,79414.69
100,244,1,1280.05
101,289,3,19518.22
102,150,1,1368.14
103,118,1,7452.21
103,343,1,13043.96
103,90,1,63321.66
104,113,1,35646.79
105,78,5,38945.67
105,63,1,34432.1
105,97,5,14796.86
105,330,1,5151.87
106,139,1,2027.99
107,330,2,5151.87
107,127,1,1961.01
108,92,1,79414.69
108,216,12,4616.7
108,249,1,8864.11
108,123,1,6768.86
108,219,1,5782.79
109,263,1,2495.73
109,317,2,783.45
109,313,1,845.62
110,326,1,4869.61
110,171,1,1818.96
111,59,1,26021.72
111,236,2,4478.12
112,85,1,47627.51
113,86,1,59880.48
113,219,1,5782.79
