invoice_id,customer_id,invoice_date,total_amount
1,8395,2026-04-23,27374.16
2,7659,2026-08-12,43375.42
3,6474,2026-01-14,16627.68
4,6892,2026-08-19,118141.94
5,284,2025-12-24,1402.33
6,7631,2026-08-30,147093.25
7,2337,2025-11-17,147866.96
8,7139,2025-11-21,88155.56
9,1528,2025-12-01,65163.68
10,5002,2026-04-18,75894.5
11,3018,2026-08-21,34177.66
12,4107,2025-10-01,47881.66
13,8431,2026-07-18,14787.02
14,4118,2026-02-26,108729.94
15,3462,2025-11-15,2867.75
16,4257,2026-05-17,12519.79
17,1558,2026-01-16,111237.45
18,1587,2025-12-08,35112.01
19,1049,2025-10-30,51410.04
20,9962,2026-03-07,81432.71
21,5458,2026-06-22,195485.34
22,1293,2026-03-06,59880.48
23,6954,2026-03-12,21423.0
24,8407,2026-08-06,60309.4
25,2179,2025-09-14,64177.01
26,2206,2026-05-18,31929.02
27,3451,2026-01-04,264604.53
28,6242,2025-11-10,21417.87
29,9378,2026-07-04,82574.79
30,8871,2026-03-08,2949.59
31,9777,2026-07-05,226049.4
32,8630,2026-08-21,51638.58
33,1671,2026-05-18,421361.51
34,5622,2025-11-25,573.2
35,8887,2026-03-31,66595.2
36,4641,2025-09-23,269162.58
37,2401,2026-08-24,78259.51
38,1766,2026-08-04,89514.78
39,8021,2025-11-07,106734.03
40,9722,2026-07-22,36783.47
41,2621,2026-09-02,241246.17
42,2919,2026-08-14,1377.08
43,6323,2025-12-24,129479.79
44,8532,2025-10-21,54825.95
45,5657,2026-05-12,48362.71
46,168,2026-05-12,175614.49
47,3678,2026-02-21,440010.67
48,8752,2025-12-04,123178.67
49,4853,2025-11-22,175413.77
50,7823,2025-11-02,42397.12
51,3839,2026-02-16,69622.06
52,7847,2026-05-28,80334.46
53,5508,2026-01-01,43853.41
54,8119,2026-07-29,4038.93
55,7411,2025-11-20,68499.34
56,9660,2025-12-04,9885.92
57,1110,2026-04-19,55232.67
58,548,2025-11-10,22742.9
59,5791,2026-07-08,909.4
60,3299,2026-07-28,5853.58
61,2151,2026-02-21,2903.62
62,112,2026-05-19,203697.86
63,5750,2026-06-11,295883.79
64,9324,2026-03-08,3674.73
65,3202,2026-08-13,27469.36
66,7897,2025-09-07,47624.15
67,7318,2025-10-31,6650.81
68,4296,2025-09-09,5296.11
69,1489,2026-06-17,117433.3
70,4404,2025-10-26,107819.25
71,8786,2025-12-20,95710.02
72,1527,2026-01-12,41045.21
73,8999,2025-12-08,149806.25
74,5739,2026-01-18,102089.42
75,7513,2025-09-30,141675.28
76,4918,2026-01-08,73636.77
77,5198,2026-07-23,176006.04
78,4562,2026-07-17,107419.15
79,8573,2026-01-07,326309.9
80,1622,2026-04-10,2719.62
81,3104,2026-01-27,55884.56
82,641,2026-06-25,64206.95
83,5329,2026-02-08,217500.61
84,8698,2026-02-07,7881.17
85,9090,2026-08-27,70195.76
86,1543,2026-08-10,99506.24
87,6705,2025-10-22,18163.7
88,6935,2026-08-26,160375.08
89,5675,2025-10-20,19338.48
90,556,2026-05-07,70543.69
91,8835,2025-12-02,277989.82
92,7446,2026-03-26,7661.7
93,5240,2026-05-18,39104.49
94,2091,2025-11-16,8865.41
95,9534,2026-08-21,4790.68
96,9472,2025-10-16,13057.53
97,9471,2026-06-28,48996.51
98,1993,2026-07-29,65569.57
99,3604,2026-08-03,36783.47
100,7983,2025-12-04,80694.74
101,4216,2026-07-04,58554.66
102,6661,2026-08-30,1368.14
103,6658,2026-01-25,83817.83
104,796,2026-03-13,35646.79
105,2381,2026-02-04,308296.62
106,3474,2026-02-17,2027.99
107,7336,2026-01-03,12264.75
108,6819,2026-06-06,156230.85
109,8058,2026-07-16,4908.25
110,7326,2026-01-21,6688.57
111,874,2026-07-20,34977.96
112,3775,2026-08-05,47627.51
113,9410,2026-05-28,74173.65
114,901,2025-11-28,37751.52
115,4440,2026-08-09,25136.67
116,234,2025-09-30,13150.97
117,5779,2026-02-21,72953.62
118,4490,2026-02-06,5556.21
119,3517,2026-08-04,57926.04
120,2096,2026-05-19,69827.08
121,4401,2025-10-19,82976.49
122,3278,2026-07-25,90328.11
123,4254,2025-10-30,79209.97
124,5191,2025-12-04,12934.48
125,6293,2025-10-03,30078.93
126,326,2025-09-11,81854.47
127,3022,2025-09-05,22427.42
128,4178,2025-12-04,16872.4
129,9848,2026-04-11,573.2
130,3986,2026-01-07,18713.53
131,5775,2026-05-28,289559.81
132,8050,2025-11-11,29593.72
133,9473,2026-07-18,125104.69
134,3387,2025-12-07,217640.34
135,5988,2026-02-06,105951.51
136,2909,2026-01-25,2967.04
137,8022,2026-08-17,882.96
138,4793,2026-01-12,2903.62
139,80,2026-06-15,54845.57
140,375,2026-06-06,148038.0
141,9517,2025-11-11,59100.8
142,9263,2026-07-31,6732.84
143,8793,2026-05-31,29951.0
144,9801,2025-10-21,103841.79
145,5865,2025-11-16,79237.06
146,8124,2026-01-07,4813.38
147,8759,2026-05-09,46401.85
148,5843,2026-08-14,270975.6
149,9492,2026-03-26,62872.2
150,2154,2026-07-22,41406.62
151,8697,2025-12-30,32878.25
152,9948,2026-02-05,140687.2
153,2409,2026-08-21,13029.33
154,4920,2025-12-31,113078.19
155,5670,2026-02-04,8923.44
156,5609,2026-06-11,81976.87
157,3972,2026-01-16,353970.63
158,7264,2026-01-11,33751.28
159,8237,2026-07-10,106940.37
160,1704,2026-04-13,120268.33
161,1560,2025-10-07,93343.21
162,1324,2025-09-09,29552.92
163,2579,2025-11-06,520148.25
164,3598,2026-08-02,67188.04
165,1497,2025-09-12,275989.83
166,758,2026-05-09,33123.8
167,1401,2026-08-05,202447.99
168,1339,2026-06-01,12162.15
169,2642,2025-10-15,125631.15
170,9927,2026-04-23,19470.67
171,2377,2026-03-23,29616.74
172,8348,2026-05-11,10491.8
173,3839,2026-05-22,45088.66
174,8176,2025-09-29,89338.26
175,1517,2026-06-26,85524.64
176,739,2025-11-29,232496.72
177,6220,2026-05-12,2247.72
178,8688,2025-10-12,139439.64
179,8666,2026-02-22,23754.01
180,2668,2025-10-21,235451.26
181,6179,2026-06-14,19844.39
182,5079,2026-06-16,20770.16
183,1976,2026-07-05,324710.46
184,582,2025-12-16,122339.13
185,454,2026-01-24,52322.62
186,1558,2026-08-15,25807.9
187,3364,2025-09-14,4676.05
188,5028,2026-02-25,54205.81
189,6331,2026-03-11,131109.14
190,8096,2026-06-05,8490.78
191,3867,2025-10-22,236895.64
192,7764,2026-09-04,29699.5
193,3425,2025-11-18,84300.8
194,1392,2026-04-02,36558.79
195,7182,2026-04-23,28917.13
196,916,2026-04-20,131155.07
197,315,2025-11-08,387080.09
198,3595,2026-05-11,10125.21
199,6833,2025-11-30,37199.13
200,2581,2025-12-30,164392.03
201,5430,2025-11-10,15100.0
202,9357,2026-08-06,1401.38
203,5156,2025-10-08,252965.76
204,4355,2026-03-24,2313.47
205,6946,2026-03-23,268544.34
206,698,2025-11-07,108121.8
207,5769,2025-12-25,68758.37
208,1167,2026-04-06,84314.13
209,8799,2026-01-02,206338.73
210,240,2026-05-02,39501.7
211,9383,2025-12-18,21868.27
212,2417,2026-04-02,26021.72
213,8252,2025-11-21,475796.54
214,8599,2026-01-16,48627.99
215,4324,2026-02-26,269601.43
216,1788,2026-03-29,170632.66
217,7461,2026-03-23,76307.28
218,7471,2025-10-11,95291.96
219,3013,2025-11-20,316608.3
220,9448,2026-05-10,133894.6
221,1217,2026-07-28,99325.76
222,7564,2026-01-19,29475.15
223,9229,2026-08-13,117310.36
224,4598,2025-12-13,4158.11
225,1544,2026-07-08,112247.39
226,37,2025-12-06,71271.82
227,1447,2026-09-03,103945.22
228,55,2025-12-18,168744.42
229,1154,2026-01-13,9432.61
230,5831,2025-10-30,96159.88
231,2571,2026-03-06,448899.39
232,9255,2025-10-18,91729.49
233,5009,2026-02-21,81992.29
234,426,2026-06-01,35996.87
235,1898,2026-04-05,90654.55
236,9062,2026-03-30,26948.05
237,4324,2026-04-28,29579.62
238,5657,2026-08-09,298149.76
239,3609,2026-02-05,108265.94
240,2367,2026-01-10,139139.7
241,7570,2026-04-22,111794.9
242,9851,2026-06-04,17618.43
243,931,2026-02-20,3303.14
244,2491,2026-09-02,43663.38
245,6171,2026-09-01,11775.16
246,4442,2026-03-27,2949.59
247,9816,2026-07-26,99239.43
248,5716,2026-06-24,63960.94
249,6411,2026-06-13,49133.03
250,5100,2026-04-30,126643.32
251,7301,2026-03-09,8721.65
252,7319,2026-06-24,87197.56
253,9781,2026-08-11,11102.69
254,2313,2025-09-07,25508.55
255,7817,2026-06-09,256829.87
256,5887,2025-10-20,68612.5
257,9159,2026-03-17,9912.39
258,7608,2026-08-15,3922.02
259,7748,2025-10-15,21736.48
260,4697,2025-09-24,11793.93
261,4487,2025-10-29,63246.75
262,1751,2025-10-15,16638.81
263,4633,2026-08-26,104689.4
264,156,2026-03-03,46842.05
265,1700,2026-03-02,1810.62
266,7964,2026-05-30,499085.88
267,5542,2026-06-22,122732.38
268,2153,2026-08-14,15897.62
269,2284,2025-09-20,58548.75
270,5159,2026-07-31,3992.98
271,8760,2026-08-27,6768.86
