product_id,product_name,category,subcategory,brand,cost_price,selling_price,margin,quality_score,performance_score,ram_gb,storage_gb,processor_tier,warranty_months,active,stock_quantity
1,Laptop Entry-Level Lenovo,Laptops,Entry-Level,HP,28168.89,37751.52,9582.63,25,38,12.0,256.0,i3,36,True,318
2,Laptop Entry-Level Dell,Laptops,Entry-Level,Lenovo,29729.19,47486.64,17757.45,74,75,8.0,256.0,Ryzen 5,24,True,68
3,Laptop Entry-Level Dell,Laptops,Entry-Level,Dell,24598.75,35699.98,11101.24,20,20,12.0,256.0,Ryzen 5,12,True,176
4,Laptop Entry-Level Lenovo,Laptops,Entry-Level,Lenovo,21119.38,49133.03,28013.64,63,100,12.0,256.0,Ryzen 5,36,True,215
5,Laptop Entry-Level HP,Laptops,Entry-Level,HP,24519.55,37733.54,13214.0,20,41,12.0,512.0,Ryzen 5,24,True,455
6,Laptop Entry-Level Dell,Laptops,Entry-Level,HP,29339.93,45909.08,16569.15,83,45,12.0,256.0,Ryzen 5,12,True,226
7,Laptop Entry-Level Lenovo,Laptops,Entry-Level,Lenovo,23528.41,43140.44,19612.03,59,48,8.0,256.0,i3,12,True,90
8,Laptop Entry-Level Dell,Laptops,Entry-Level,Lenovo,27402.08,46852.63,19450.56,89,81,12.0,256.0,Ryzen 5,36,True,416
9,Laptop Entry-Level Dell,Laptops,Entry-Level,HP,27019.57,44988.84,17969.26,42,76,8.0,256.0,i3,12,True,264
10,Laptop Entry-Level Dell,Laptops,Entry-Level,HP,23304.61,35606.5,12301.89,20,20,12.0,256.0,i3,36,True,494
11,Laptop Entry-Level Dell,Laptops,Entry-Level,HP,23243.63,41155.74,17912.11,29,52,12.0,256.0,i3,36,True,450
12,Laptop Entry-Level HP,Laptops,Entry-Level,Dell,21949.45,41848.02,19898.57,39,24,12.0,256.0,Ryzen 5,24,True,394
13,Laptop Entry-Level Lenovo,Laptops,Entry-Level,HP,23051.42,41406.62,18355.2,47,46,8.0,512.0,Ryzen 5,36,True,181
14,Laptop Entry-Level Lenovo,Laptops,Entry-Level,HP,23197.13,37524.37,14327.24,21,20,12.0,256.0,Ryzen 5,12,True,396
15,Laptop Professional Dell,Laptops,Professional,HP,32221.3,74943.51,42722.21,93,98,16.0,512.0,Ryzen 7,12,True,169
16,Laptop Professional HP,Laptops,Professional,HP,38293.4,64817.42,26524.02,56,48,16.0,512.0,i5,36,True,479
17,Laptop Professional Lenovo,Laptops,Professional,HP,38036.62,52257.24,14220.62,20,22,16.0,512.0,Ryzen 7,12,True,460
18,Laptop Professional HP,Laptops,Professional,Lenovo,42142.52,58716.65,16574.13,41,20,16.0,512.0,Ryzen 7,12,True,424
19,Laptop Professional Dell,Laptops,Professional,Dell,43160.09,56448.54,13288.45,41,33,16.0,512.0,i5,12,True,169
20,Laptop Professional Lenovo,Laptops,Professional,Dell,39496.52,58475.74,18979.22,53,20,16.0,512.0,i5,24,True,465
21,Laptop Professional HP,Laptops,Professional,HP,41780.11,66724.71,24944.6,39,84,16.0,512.0,i5,36,True,203
22,Laptop Professional Lenovo,Laptops,Professional,Lenovo,40378.43,66299.03,25920.6,76,50,16.0,512.0,i5,24,True,410
23,Laptop Premium Lenovo,Laptops,Premium,Lenovo,60344.33,79215.36,18871.03,20,20,32.0,1024.0,M1,24,True,235
